date,home_team,away_team,home_win,runs_scored_diff,runs_allowed_diff,season_run_diff_diff,recent_win_pct_diff,rest_days_diff
2026-04-09,New York Yankees,Athletics,0,0.7272727272727275,2.818181818181818,3.545454545454546,0.29999999999999993,0
2026-04-09,Minnesota Twins,Detroit Tigers,1,0.9318181818181817,-0.1363636363636367,0.7954545454545454,0.3,0
2026-04-09,New York Mets,Arizona Diamondbacks,0,0.833333333333333,1.333333333333333,2.1666666666666665,-0.09999999999999998,0
2026-04-09,Kansas City Royals,Chicago White Sox,0,0.3333333333333335,1.083333333333333,1.4166666666666665,0.09999999999999998,0
2026-04-09,San Diego Padres,Colorado Rockies,1,-0.5833333333333335,-0.4166666666666665,-1.0,0.0,0
2026-04-10,Chicago Cubs,Pittsburgh Pirates,0,0.16666666666666696,0.3333333333333335,0.5,-0.19999999999999996,0
2026-04-10,Philadelphia Phillies,Arizona Diamondbacks,0,-0.5,-0.21153846153846168,-0.7115384615384616,-0.19999999999999996,1
2026-04-10,Detroit Tigers,Miami Marlins,1,-1.5705128205128207,-0.09615384615384581,-1.6666666666666665,-0.4,0
2026-04-10,Cincinnati Reds,Los Angeles Angels,0,-0.9230769230769229,1.0769230769230766,0.15384615384615385,0.19999999999999996,-1
2026-04-10,Toronto Blue Jays,Minnesota Twins,1,-1.1987179487179485,-1.0192307692307692,-2.217948717948718,-0.3,1
2026-04-10,New York Mets,Athletics,0,0.39102564102564097,1.1474358974358978,1.5384615384615383,0.0,0
2026-04-10,Tampa Bay Rays,New York Yankees,1,0.08333333333333304,-3.3333333333333335,-3.25,-0.09999999999999998,1
2026-04-10,Baltimore Orioles,San Francisco Giants,0,0.5961538461538463,0.301282051282052,0.8974358974358976,0.0,0
2026-04-10,Atlanta Braves,Cleveland Guardians,1,1.5384615384615383,0.8461538461538458,2.3846153846153846,0.0,0
2026-04-10,Kansas City Royals,Chicago White Sox,1,0.1538461538461542,0.8461538461538467,1.0000000000000002,-0.09999999999999998,0
2026-04-10,Milwaukee Brewers,Washington Nationals,0,-0.08333333333333393,2.6666666666666665,2.5833333333333335,0.3,0
2026-04-10,St. Louis Cardinals,Boston Red Sox,1,1.1515151515151518,-0.05303030303030365,1.0984848484848484,0.3,0
2026-04-10,San Diego Padres,Colorado Rockies,1,-0.23076923076923084,-0.07692307692307665,-0.3076923076923077,0.0,0
2026-04-10,Seattle Mariners,Houston Astros,1,-2.9999999999999996,2.769230769230769,-0.23076923076923078,-0.2,0
2026-04-10,Los Angeles Dodgers,Texas Rangers,1,2.5833333333333335,-0.16666666666666652,2.416666666666667,0.09999999999999998,0
2026-04-11,Philadelphia Phillies,Arizona Diamondbacks,1,-0.5329670329670328,-0.26923076923076916,-0.8021978021978022,-0.19999999999999996,0
2026-04-11,Detroit Tigers,Miami Marlins,1,-1.324175824175824,0.0769230769230771,-1.2472527472527473,-0.3,0
2026-04-11,Chicago Cubs,Pittsburgh Pirates,0,0.0,0.1538461538461542,0.15384615384615385,-0.19999999999999996,0
2026-04-11,Toronto Blue Jays,Minnesota Twins,0,-0.6483516483516483,-0.510989010989011,-1.1593406593406594,-0.3,0
2026-04-11,Cincinnati Reds,Los Angeles Angels,1,-1.4285714285714284,0.42857142857142794,-0.9999999999999999,0.0,0
2026-04-11,New York Mets,Athletics,0,0.0769230769230771,0.7527472527472527,0.8296703296703297,-0.19999999999999996,0
2026-04-11,Kansas City Royals,Chicago White Sox,1,0.2857142857142856,0.9285714285714288,1.2142857142857144,0.0,0
2026-04-11,Tampa Bay Rays,New York Yankees,1,0.23076923076922995,-2.923076923076923,-2.6923076923076925,0.0,0
2026-04-11,Milwaukee Brewers,Washington Nationals,0,-0.384615384615385,2.153846153846154,1.7692307692307694,0.2,0
2026-04-11,Baltimore Orioles,San Francisco Giants,1,0.3351648351648353,0.05494505494505475,0.39010989010989017,-0.09999999999999998,0
2026-04-11,St. Louis Cardinals,Boston Red Sox,0,1.1282051282051286,0.04487179487179471,1.1730769230769231,0.3,0
2026-04-11,Atlanta Braves,Cleveland Guardians,0,1.8571428571428572,1.2142857142857144,3.0714285714285716,0.0,0
2026-04-11,San Diego Padres,Colorado Rockies,1,0.0,0.1428571428571428,0.14285714285714288,0.19999999999999996,0
2026-04-11,Los Angeles Dodgers,Texas Rangers,1,2.461538461538462,-0.0769230769230771,2.384615384615385,0.19999999999999996,0
2026-04-11,Seattle Mariners,Houston Astros,1,-2.571428571428571,2.785714285714286,0.21428571428571427,-0.10000000000000003,0
2026-04-12,Baltimore Orioles,San Francisco Giants,1,0.5904761904761906,0.3285714285714292,0.919047619047619,0.09999999999999998,0
2026-04-12,Philadelphia Phillies,Arizona Diamondbacks,0,-0.4285714285714284,-0.17619047619047645,-0.6047619047619047,0.0,0
2026-04-12,Toronto Blue Jays,Minnesota Twins,0,-0.804761904761905,-0.6857142857142859,-1.4904761904761905,-0.39999999999999997,0
2026-04-12,Cincinnati Reds,Los Angeles Angels,0,-1.0666666666666664,0.666666666666667,-0.4,0.09999999999999998,0
2026-04-12,New York Mets,Athletics,0,-0.2952380952380951,0.37619047619047663,0.08095238095238094,-0.29999999999999993,0
2026-04-12,Detroit Tigers,Miami Marlins,1,-0.8904761904761904,0.41904761904761934,-0.4714285714285714,-0.10000000000000003,0
2026-04-12,Tampa Bay Rays,New York Yankees,1,0.2857142857142865,-2.6428571428571432,-2.357142857142857,0.0,0
2026-04-12,Kansas City Royals,Chicago White Sox,0,0.3999999999999999,1.0000000000000004,1.4000000000000004,0.0,0
2026-04-12,Milwaukee Brewers,Washington Nationals,0,-0.5,1.8571428571428568,1.3571428571428572,0.2,0
2026-04-12,St. Louis Cardinals,Boston Red Sox,0,0.5989010989010994,-0.40109890109890056,0.19780219780219777,0.19999999999999996,0
2026-04-12,Chicago Cubs,Pittsburgh Pirates,1,-0.07142857142857117,0.07142857142857117,0.0,-0.4,0
2026-04-12,San Diego Padres,Colorado Rockies,1,0.2666666666666666,0.3999999999999999,0.6666666666666666,0.30000000000000004,0
2026-04-12,Seattle Mariners,Houston Astros,1,-2.333333333333334,2.6666666666666665,0.33333333333333337,0.0,0
2026-04-12,Los Angeles Dodgers,Texas Rangers,0,2.4999999999999996,0.1428571428571428,2.642857142857143,0.4,0
